,ally_baron_kills,ally_dragon_kills,ally_inhibitor_kills,ally_kills,ally_rift_kills,ally_tower_kills,enemy_baron_kills,enemy_dragon_kills,enemy_inhibitor_kills,enemy_kills,enemy_rift_kills,enemy_tower_kills,rank,score_diff,BRONZE,CHALLENGER,DIAMOND,GOLD,GRANDMASTER,IRON,MASTER,PLATINUM,SILVER
22068,0,1,2,20,1,8,1,3,1,27,1,7,IRON,-6.799133536509274,0,0,0,0,0,1,0,0,0
18220,0,0,0,21,0,5,1,4,2,36,1,10,SILVER,-8.434933618296121,0,0,0,0,0,0,0,0,1
33094,1,2,3,32,0,11,0,2,1,19,2,7,BRONZE,5.399785429400843,1,0,0,0,0,0,0,0,0
10608,1,4,2,53,1,7,2,3,5,69,0,10,IRON,-3.622257458396774,0,0,0,0,0,1,0,0,0
19470,1,4,2,51,1,9,1,1,0,39,1,4,SILVER,2.9218805255839726,0,0,0,0,0,0,0,0,1
20647,0,1,0,13,2,4,0,1,0,32,0,3,GOLD,-13.819069459158598,0,0,0,1,0,0,0,0,0
17405,1,3,2,29,1,9,0,0,0,29,1,5,IRON,2.705552939378947,0,0,0,0,0,1,0,0,0
29630,1,3,2,47,0,10,0,2,1,55,1,7,IRON,-1.533987741716146,0,0,0,0,0,1,0,0,0
29820,0,0,0,46,0,1,0,0,2,66,0,4,MASTER,-2.266848394812236,0,0,0,0,0,0,1,0,0
34058,1,1,0,31,0,6,1,4,2,52,1,10,PLATINUM,-10.6512005782876,0,0,0,0,0,0,0,1,0
34407,0,1,0,20,2,3,1,3,3,33,0,11,SILVER,-7.020229971950691,0,0,0,0,0,0,0,0,1
16257,1,5,1,53,0,10,1,1,5,47,2,9,GOLD,3.627308217539756,0,0,0,1,0,0,0,0,0
4665,1,3,2,43,1,8,0,1,2,31,1,6,IRON,2.655994703759724,0,0,0,0,0,1,0,0,0
6646,0,0,0,20,2,4,1,4,1,40,0,9,BRONZE,-9.75400244449547,1,0,0,0,0,0,0,0,0
33738,2,3,2,39,2,10,0,1,0,34,0,1,DIAMOND,-1.2449923538331973,0,0,1,0,0,0,0,0,0
11105,0,0,0,13,1,3,2,5,3,33,1,11,SILVER,-9.925582447538453,0,0,0,0,0,0,0,0,1
20912,1,4,1,52,1,7,1,3,2,64,0,10,PLATINUM,-3.604116177506441,0,0,0,0,0,0,0,1,0
23999,0,3,0,29,2,7,0,1,0,23,0,6,IRON,-2.633002631723741,0,0,0,0,0,1,0,0,0
22926,1,1,2,32,1,7,1,4,0,30,1,6,GRANDMASTER,-1.109901114020296,0,0,0,0,1,0,0,0,0
19993,0,0,0,21,1,4,1,4,2,31,1,9,SILVER,-2.361144395585648,0,0,0,0,0,0,0,0,1
26988,0,1,0,11,1,5,1,4,2,26,1,11,SILVER,-13.998112689794894,0,0,0,0,0,0,0,0,1
3383,0,2,0,21,0,2,0,1,1,35,1,7,IRON,-6.017951826595137,0,0,0,0,0,1,0,0,0
30356,0,0,0,29,0,6,1,4,1,28,2,6,CHALLENGER,-1.5343973236074504,0,1,0,0,0,0,0,0,0
10465,0,0,0,20,0,1,0,3,3,33,1,11,BRONZE,-9.763534189569818,1,0,0,0,0,0,0,0,0
9040,0,3,0,30,0,4,2,1,3,34,2,9,GOLD,-3.535637168511343,0,0,0,1,0,0,0,0,0
14602,2,3,1,31,1,6,0,2,0,18,1,6,MASTER,4.55038630068298,0,0,0,0,0,0,1,0,0
23210,0,1,0,17,0,2,1,3,3,28,2,11,SILVER,-7.768984839714726,0,0,0,0,0,0,0,0,1
2435,1,2,2,45,0,10,0,1,0,33,1,2,IRON,2.692176717442337,0,0,0,0,0,1,0,0,0
15481,0,0,0,19,0,3,0,3,4,33,2,11,GOLD,-4.469547017402185,0,0,0,1,0,0,0,0,0
25772,0,3,0,37,0,6,0,0,0,27,1,3,PLATINUM,9.40014550032749,0,0,0,0,0,0,0,1,0
5010,0,2,1,31,1,6,0,1,0,17,0,2,GOLD,7.22745094621834,0,0,0,1,0,0,0,0,0
17204,0,1,0,42,0,3,1,3,1,46,1,10,DIAMOND,0.6863912537921522,0,0,1,0,0,0,0,0,0
30184,0,1,0,22,1,3,2,3,1,43,1,8,SILVER,-11.179884058860878,0,0,0,0,0,0,0,0,1
724,1,3,1,51,0,7,1,1,0,31,2,3,DIAMOND,7.617162139923131,0,0,1,0,0,0,0,0,0
387,0,2,0,20,1,3,0,2,0,37,1,5,IRON,-7.31687574740279,0,0,0,0,0,1,0,0,0
33086,0,0,0,25,0,2,1,4,3,38,1,11,GOLD,-8.174130283893177,0,0,0,1,0,0,0,0,0
35035,1,2,3,43,1,10,1,4,0,41,1,4,PLATINUM,-1.233233645036222,0,0,0,0,0,0,0,1,0
33507,0,0,0,28,1,2,1,4,4,41,1,11,IRON,-8.973666771588164,0,0,0,0,0,1,0,0,0
28005,0,2,0,17,1,3,2,3,3,39,0,11,BRONZE,-11.003734901917738,1,0,0,0,0,0,0,0,0
718,0,0,0,14,2,2,0,3,1,38,0,9,IRON,-10.647212127785984,0,0,0,0,0,1,0,0,0
20564,0,2,0,31,1,5,2,3,3,59,0,9,BRONZE,-11.775626737572786,1,0,0,0,0,0,0,0,0
538,0,3,1,43,2,6,1,3,2,45,0,11,PLATINUM,0.4101290491214939,0,0,0,0,0,0,0,1,0
14673,0,0,2,68,0,4,0,0,1,70,0,4,SILVER,-4.071175784281984,0,0,0,0,0,0,0,0,1
2789,2,3,5,43,1,11,1,3,0,44,0,4,IRON,-2.3344574557253,0,0,0,0,0,1,0,0,0
10949,0,3,1,18,1,7,0,0,0,17,1,1,MASTER,2.539166575466276,0,0,0,0,0,0,1,0,0
29735,0,0,1,66,0,2,0,0,2,64,0,4,SILVER,0.2735851691631197,0,0,0,0,0,0,0,0,1
12302,0,1,0,20,1,3,1,3,4,39,1,11,DIAMOND,-10.662213002413589,0,0,1,0,0,0,0,0,0
27303,0,0,0,68,0,1,0,0,2,97,0,4,PLATINUM,-4.327357056149481,0,0,0,0,0,0,0,1,0
16680,1,2,2,32,0,9,1,3,0,26,1,6,SILVER,2.722435865782032,0,0,0,0,0,0,0,0,1
6556,1,4,1,46,0,8,0,1,0,32,1,3,BRONZE,3.663508217420506,1,0,0,0,0,0,0,0,0
24702,0,0,0,9,0,0,1,3,3,31,2,11,PLATINUM,-14.60958048792392,0,0,0,0,0,0,0,1,0
