,ally_baron_kills,ally_dragon_kills,ally_inhibitor_kills,ally_kills,ally_rift_kills,ally_tower_kills,enemy_baron_kills,enemy_dragon_kills,enemy_inhibitor_kills,enemy_kills,enemy_rift_kills,enemy_tower_kills,rank,score_diff,BRONZE,CHALLENGER,DIAMOND,GOLD,GRANDMASTER,IRON,MASTER,PLATINUM,SILVER
12462,1,4,2,44,2,9,0,1,0,29,0,4,DIAMOND,4.364008789419742,0,0,1,0,0,0,0,0,0
17657,0,0,0,32,1,2,1,4,2,49,1,11,SILVER,-9.338366520692986,0,0,0,0,0,0,0,0,1
35615,1,0,0,33,0,5,0,4,0,39,1,6,GOLD,-2.1768780429559698,0,0,0,1,0,0,0,0,0
23270,1,2,0,40,1,3,0,3,6,50,1,11,BRONZE,-2.582252161781021,1,0,0,0,0,0,0,0,0
15283,1,2,2,35,2,9,0,1,0,30,0,1,GOLD,-0.2864808672845811,0,0,0,1,0,0,0,0,0
16467,2,4,1,58,1,9,1,3,1,44,1,7,BRONZE,4.892602317860053,1,0,0,0,0,0,0,0,0
705,0,4,3,41,1,11,1,1,0,37,1,3,SILVER,2.946224544202792,0,0,0,0,0,0,0,0,1
2146,0,2,0,10,1,3,1,1,1,31,1,8,IRON,-15.565371967073355,0,0,0,0,0,1,0,0,0
30361,0,1,0,25,1,1,1,1,3,34,1,11,GOLD,-3.5648580236750007,0,0,0,1,0,0,0,0,0
1066,0,0,3,57,0,4,0,0,1,49,0,2,SILVER,-0.3024416478071785,0,0,0,0,0,0,0,0,1
